,all-1,all-2,all-3,mLB-1,mLB-2,mLB-3,mLC-1,mLC-2,mLC-3,mLLm1-1,mLLm1-2,mLLm1-3,mLLm2-1,mLLm2-2,mLLm2-3,mST-1,mST-2,mST-3
gene-QMZ85_RS00005,83.5089315,68.79760192,77.79819784,70.52017453,73.91338857,54.80797157,0,0,0,117.526372,174.8159254,161.6360002,83.35490307,126.5973345,120.8196299,122.4483313,92.46589676,159.3303577
gene-QMZ85_RS00010,404.6669295,392.9155653,664.2122779,625.1989445,799.2114809,659.2572125,0,0,0,682.8935633,1366.932107,1338.134137,755.5752512,785.59183,1001.511692,509.2250575,492.6072658,404.7958987
gene-QMZ85_RS00015,362.0203556,372.4847163,574.6949903,633.9603209,1043.936605,728.029261,0,0,0,518.2733071,1085.032587,1371.853737,733.6109461,900.3933288,739.8607569,462.3486722,474.2857689,537.2141835
gene-QMZ85_RS00020,253.5922024,317.2502064,382.813461,381.5744604,311.4276573,306.0412458,0,0,0,323.9262448,560.7756726,806.5317435,391.3144958,513.6885037,577.9374138,280.8252396,284.384096,298.5980159
gene-QMZ85_RS00025,117.3272538,131.0631407,166.8143723,367.4812209,619.5771287,409.631257,0,0,0,284.7275447,607.2679221,1013.461951,266.0180243,326.8926842,318.4057034,290.4324188,219.8036811,306.2434843
gene-QMZ85_RS00030,196.0191535,224.8583579,256.156474,316.1632403,376.0268909,356.7483278,0,0,0,272.1744607,543.661086,576.8509562,382.7511789,425.0044857,442.3936151,263.2878357,268.1131577,271.6610882
gene-QMZ85_RS00035,76.53489081,50.4980651,75.93945576,88.31311736,88.8766622,65.7653912,0,0,0,86.52421197,166.9240636,157.4643182,117.6966193,121.5370236,124.9575923,87.46194077,73.8878528,89.08277606
gene-QMZ85_RS00040,52.83173862,44.79524389,56.17599179,97.21933023,131.2242901,97.34485413,0,0,0,100.169032,153.1106612,187.5562702,113.5318112,89.15255023,108.0298397,89.8746532,58.57625371,74.28267595
rna-QMZ85_RS00045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-QMZ85_RS00050,80.07247925,107.8937834,80.62537499,87.25659168,67.65497383,91.4928748,0,0,0,103.8929885,193.0015614,164.53554,192.0721274,109.9035748,225.9934577,68.63272019,81.00523592,105.1910997
gene-QMZ85_RS00055,68.36267989,148.9144579,223.2227672,226.0459957,279.3879799,222.876643,0,0,0,194.7536405,499.2088046,426.6109775,252.2038495,300.3934556,319.9603785,194.1064056,174.4010327,195.2346811
gene-QMZ85_RS00060,77.02581907,55.10128788,92.18813532,313.7387015,433.0743386,328.4259475,0,0,0,61.72763903,233.8153321,919.3164591,100.2390078,177.6641806,182.3918431,330.5689787,59.58824184,204.6095172
gene-QMZ85_RS00065,249.6819533,211.5115102,389.4387084,469.5148137,691.4294817,535.7775678,0,0,0,408.4364099,896.7832008,741.9113408,561.8817558,397.31651,526.293281,366.9239103,397.6184982,276.2816612
gene-QMZ85_RS00070,79.71394576,92.31453528,164.8909255,191.018408,180.0935012,179.1963059,0,0,0,166.3838458,370.5887396,318.2520743,202.8181926,268.9546151,254.5777814,133.680149,150.0652221,146.0769438
gene-QMZ85_RS00075,6.297225487,0,7.925884321,0,0,4.497107405,0,0,0,0,0,0,0,0,0,0,0,0
gene-QMZ85_RS00080,13.42902303,3.461186621,0,0,0,6.393477998,0,0,0,0,0,3.066043798,0,0,0,0,0,6.125586129
gene-QMZ85_RS00085,4.423051235,10.44012748,0,0,14.01424458,3.158682582,0,0,0,5.738850794,5.670765228,6.059086554,3.683923078,11.67473872,4.001105173,0,8.949149873,0
gene-QMZ85_RS00090,15.92298445,0,0,0,0,0,0,0,0,0,3.402459137,0,0,0,0,0,5.369489924,0
gene-QMZ85_RS00095,10.82144574,12.71631405,6.810104489,0,0,0,0,0,0,10.53051262,23.87039803,14.82417293,18.02618671,28.56343842,19.57822337,0,0,7.404227894
gene-QMZ85_RS00100,33.981979,15.97293107,11.40554085,20.57269235,21.53408313,14.56075629,0,0,0,14.69705691,26.31221235,12.41373831,18.8688743,23.91897689,22.54281207,11.5583559,13.75113273,15.500721
gene-QMZ85_RS00105,7.67184108,6.868726831,8.276587167,14.92885639,11.57518726,8.609506508,0,0,0,8.532096756,18.96946244,13.51229922,10.95396597,11.57142245,14.87136436,5.591653,3.326232696,8.99864865
rna-QMZ85_RS00110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-QMZ85_RS00115,1645.375059,1842.017255,2530.779628,3348.701201,4585.788042,3674.062047,0,0,0,2271.784145,4885.298305,5952.035458,3066.786801,2720.485627,3406.029547,2520.289903,2017.929236,2383.341423
gene-QMZ85_RS00120,903.0164871,813.1471416,1144.952635,1057.1873,1421.785961,1200.526013,0,0,0,818.2108616,1584.972575,1498.36048,1509.780708,1411.648676,1849.264161,885.7328801,950.6164224,756.9356564
gene-QMZ85_RS00125,308.5640489,364.0745373,442.2643451,437.4660986,460.2372931,404.7396665,0,0,0,355.4196746,719.3557537,654.7510548,545.470373,641.5961496,788.3940389,305.8615236,324.8996445,315.3950092
gene-QMZ85_RS00130,66.94347815,111.4427723,153.7692963,146.2792562,129.0320537,121.9080737,0,0,0,163.9450078,360.4767518,247.6037532,227.2084449,393.1547147,245.2569333,189.5570367,230.2592075,281.6941837
gene-QMZ85_RS00135,26.07272307,20.42542452,82.03985525,14.79790151,75.72609351,27.92940389,0,0,0,16.9145076,25.07075153,40.18131083,43.43151418,51.61463434,112.0309448,33.25562048,59.34699389,44.59856568
gene-QMZ85_RS00140,414.6610533,459.5492556,577.5752309,734.2798005,962.8953879,777.4307506,0,0,0,821.7316981,1544.220256,1585.587213,818.2927951,941.2758093,951.762893,803.3607746,728.7963928,740.6945716
gene-QMZ85_RS00145,116.863051,101.0513028,138.0679641,141.4143674,142.6375635,123.2167395,0,0,0,145.1912222,230.7513459,226.5415151,198.8006679,148.4112186,242.3458718,122.0589821,132.7235937,155.3935781
gene-QMZ85_RS00150,2092.259958,2252.192691,2919.45676,2419.879248,3291.00683,2951.718754,0,0,0,1806.186836,3981.520636,3733.225145,3617.876614,3557.709229,4601.557844,2370.617934,2281.408858,2512.444791
gene-QMZ85_RS00155,1870.029637,2063.524306,2673.227005,1493.654915,1504.469774,1335.159925,0,0,0,1434.589942,2344.785609,1908.008041,2904.288172,4298.878285,3301.617845,1613.768997,2036.099094,2139.729473
gene-QMZ85_RS00160,1699.935166,1474.51953,2561.92888,1680.068333,1813.544151,1307.694589,0,0,0,1453.077021,2175.872618,2048.469918,2831.335077,3138.162763,4241.971704,2028.260293,2577.355163,1652.376858
gene-QMZ85_RS00165,280.779344,333.2774421,390.8792035,452.3244056,512.2152904,472.9343524,0,0,0,426.8653598,894.0545774,843.0918298,623.3494811,677.4913263,617.0253947,421.0770816,483.4590355,351.2392382
gene-QMZ85_RS00170,679.7561313,728.1236945,875.1093756,1125.544567,1564.548462,1307.877407,0,0,0,1071.854943,2257.274538,1958.935803,1498.722821,1901.443298,1477.295514,858.1874845,1004.319064,974.3424265
gene-QMZ85_RS00175,75.56670584,143.0645201,182.2953394,92.92580526,179.5723543,179.8842962,0,0,0,155.2407774,290.6507466,370.9393328,146.8574081,531.893181,165.1981729,128.5132452,165.6351129,198.1990495
gene-QMZ85_RS00180,8.076876168,15.81860323,10.16580815,0,4.265204872,2.884014532,0,0,0,5.23982029,25.88827604,27.66104731,3.36358194,0,10.95954895,4.120805146,8.170962927,11.05268802
gene-QMZ85_RS00185,27.42885464,48.83595629,72.18406056,133.0321415,158.012959,138.8972368,0,0,0,108.3833969,166.2409565,292.0561049,87.22738669,85.56251465,90.2262643,134.852657,90.81284972,71.65702432
gene-QMZ85_RS00190,224.794425,243.2645956,397.5411598,434.1914355,488.9895365,401.3693863,0,0,0,336.3403719,772.1101186,650.3611236,467.9479307,572.6106749,509.569745,301.2379362,330.6685052,306.3781381
gene-QMZ85_RS00195,274.7152466,276.5204185,384.8850585,524.0913587,803.259718,649.5727658,0,0,0,391.0879418,886.7173827,846.1264356,583.3818705,654.2086083,713.7750936,371.804488,410.8117611,288.9023727
gene-QMZ85_RS00200,297.229043,336.8006608,485.4415435,230.9529629,220.4907814,207.2095774,0,0,0,229.5540318,453.6612182,313.8606835,464.1743078,410.950803,624.1724069,254.5480207,304.2710957,300.2120592
gene-QMZ85_RS00205,18.61404327,14.58227953,11.24554328,0.845170728,4.718222624,1.063444236,0,0,0,13.0417972,17.58416792,15.80948035,13.02292647,15.72229343,17.5118511,20.51318634,19.58411155,10.18885068
gene-QMZ85_RS00210,461.9099992,442.4933607,698.2811193,666.8054405,1211.664011,819.293966,0,0,0,568.3788847,988.092525,1143.447888,945.0756176,1504.148094,1087.759917,640.3953943,756.8078365,611.4824964
gene-QMZ85_RS00215,13.63435977,14.48101697,21.45078784,27.08423259,17.99994717,12.1710705,0,0,0,19.90170275,28.40585151,37.35510243,8.516959776,8.997046353,40.0844665,13.91244306,17.24148141,23.32218572
gene-QMZ85_RS00220,48.04348755,21.52104606,48.37522499,50.89967848,20.29649215,38.88447179,0,0,0,24.93431724,61.59624299,74.58944482,42.68269497,67.63296914,40.5629283,49.02337156,32.40209437,17.53184996
gene-QMZ85_RS00225,14.66590673,0,0,0,0,0,0,0,0,0,3.133843942,0,0,0,0,0,0,0
gene-QMZ85_RS00230,5.715943134,4.47788153,0,3.244155332,0,0,0,0,0,3.708180513,1.832093381,3.915102081,0,0,0,2.916262103,5.78252761,7.821902288
gene-QMZ85_RS00235,95.45399108,102.3895046,179.2878892,215.0374898,314.8496687,218.1363719,0,0,0,189.586225,371.8497831,385.2429498,209.1536407,255.8290572,265.6860352,184.3123756,127.7641476,166.7951101
gene-QMZ85_RS00240,37.91186773,26.73021118,33.40194107,38.73124223,56.05697831,59.5637287,0,0,0,56.56867211,53.46721501,57.12853037,63.15296704,40.02767561,68.59037439,38.68510953,34.51814951,57.06796057
gene-QMZ85_RS00245,95.82610549,142.2385898,167.1608453,173.6577266,175.7804795,134.4655463,0,0,0,181.0464603,384.757931,422.5569676,156.8251055,279.5598068,246.3666932,116.6504841,88.43865757,101.2246178
gene-QMZ85_RS00250,308.2168334,351.6090936,442.8605146,648.9936806,653.0146246,549.1080401,0,0,0,785.920514,1436.138605,1186.908087,594.0810689,636.5804902,548.3619931,395.2668034,396.5886417,317.2869387
gene-QMZ85_RS00255,86.2857536,84.29673154,114.9902889,165.9305678,199.4158081,147.3491249,0,0,0,239.0560634,365.7692843,340.7641204,130.2055435,125.9340669,120.2955227,98.40392616,113.9916303,87.51554609
gene-QMZ85_RS00260,158.9657817,194.041533,274.5273962,232.9013007,175.7009768,236.288315,0,0,0,163.0861479,421.8372223,320.3176802,354.0964869,307.376703,406.321188,201.8169446,170.167417,204.887142
gene-QMZ85_RS00265,713.5997757,733.2531006,1073.519116,1779.21644,2470.414864,2000.175001,0,0,0,972.8179815,2334.201474,3059.285236,1590.392099,1289.497343,1855.781829,2297.467738,1586.581013,2017.806356
gene-QMZ85_RS00270,82.29468617,54.04088296,68.54469991,89.29352623,213.454748,127.0469463,0,0,0,111.4869907,176.8835434,227.1269318,91.72608471,73.47099416,105.0974336,103.731538,128.5529347,82.80515451
gene-QMZ85_RS00275,57.52820187,31.92296188,81.45763692,73.46442074,55.69532039,58.2012739,0,0,0,82.41730237,126.0007448,60.74722906,71.87215088,63.26955177,82.39695298,46.47204771,63.04820427,39.36183087
gene-QMZ85_RS00280,72.66208154,44.03525564,56.94353053,122.9427131,117.2852646,96.92842935,0,0,0,88.94159902,156.4377891,212.2245372,102.7692194,79.61224042,94.25481706,72.74513586,63.79984337,82.54848909
gene-QMZ85_RS00285,311.0879369,308.3874363,449.070541,458.5587814,625.9695912,526.4470971,0,0,0,489.7152678,936.6213902,863.419834,563.6402309,630.4358909,641.5105294,394.1582827,410.1693692,391.4055073
gene-QMZ85_RS00290,59.50913865,67.80428567,82.36615013,96.58329673,141.3037171,111.5589257,0,0,0,71.21392122,166.4065435,245.3434311,79.12062064,111.4406878,139.9616598,88.31634665,93.96607367,72.21926828
gene-QMZ85_RS00295,253.0286766,282.9320676,398.3974535,542.7183702,546.5326773,549.1805885,0,0,0,446.0460544,1073.125157,887.9838109,572.222331,476.9492097,674.9232296,361.1114498,383.2135965,363.5655142
gene-QMZ85_RS00300,506.6926757,595.891059,827.8264853,928.9682632,893.5027827,831.9939189,0,0,0,828.8739305,1875.645831,1313.587776,1040.733161,1018.440784,1211.46706,686.5038627,732.2852309,611.4824964
